team_stadium,code,code_plot
angels,LAA,LAA
astros,HOU,HOU
athletics,OAK,OAK
blue_jays,TOR,TOR
braves,ATL,ATL
brewers,MIL,MIL
cardinals,STL,STL
cubs,CHC,CHC
diamondbacks,ARI,AZ
dodgers,LAD,LAD
giants,SFG,SF
indians,CLE,CLE
mariners,SEA,SEA
marlins,MIA,MIA
mets,NYM,NYM
nationals,WSN,WSN
orioles,BAL,BAL
padres,SDP,SD
phillies,PHI,PHI
pirates,PIT,PIT
rangers,TEX,TEX
rays,TBR,TB
red_sox,BOS,BOS
reds,CIN,CIN
rockies,COL,COL
royals,KCR,KC
tigers,DET,DET
twins,MIN,MIN
white_sox,CHW,CWS
yankees,NYY,NYY
generic,,
